metabolites,numerator,denominator,p-value,q-value,FC
glycine,CK10,N2,0.2253,0.8598,0.79
N-acetylglycine,CK10,N2,0.2661,0.8812,0.62
sarcosine,CK10,N2,0.8988,0.9927,0.70
dimethylglycine,CK10,N2,0.9951,1.0000,0.87
betaine,CK10,N2,0.5323,0.9386,0.68
betaine aldehyde,CK10,N2,0.7524,0.9865,1.22
serine,CK10,N2,0.4772,0.9340,1.21
N-acetylserine,CK10,N2,0.5126,0.9340,0.73
3-phosphoserine,CK10,N2,0.4177,0.9340,0.62
threonine,CK10,N2,0.4481,0.9340,0.83
N-acetylthreonine,CK10,N2,0.1019,0.7512,0.47
O-acetylhomoserine,CK10,N2,0.0199,0.4629,0.30
homoserine lactone,CK10,N2,0.6217,0.9576,0.76
alanine,CK10,N2,0.2752,0.8812,0.81
N-acetylalanine,CK10,N2,0.1668,0.8598,0.47
aspartate,CK10,N2,0.7386,0.9818,0.87
N-acetylaspartate (NAA),CK10,N2,0.1792,0.8598,0.55
asparagine,CK10,N2,0.8612,0.9927,1.30
N-acetylasparagine,CK10,N2,0.2673,0.8812,0.64
glutamate,CK10,N2,0.2427,0.8812,0.67
glutamine,CK10,N2,0.8791,0.9927,1.11
alpha-ketoglutaramate*,CK10,N2,0.0648,0.6868,0.45
N-acetylglutamate,CK10,N2,0.4392,0.9340,0.54
N-acetylglutamine,CK10,N2,0.5284,0.9364,0.69
4-hydroxyglutamate,CK10,N2,0.9463,0.9936,0.82
"glutamate, gamma-methyl ester",CK10,N2,0.4865,0.9340,0.47
S-1-pyrroline-5-carboxylate,CK10,N2,0.7623,0.9872,1.66
propionylglutamine,CK10,N2,0.4458,0.9340,0.47
histidine,CK10,N2,0.2491,0.8812,0.70
1-methylhistidine,CK10,N2,0.2083,0.8598,0.61
3-methylhistidine,CK10,N2,0.4572,0.9340,0.74
N-acetylhistidine,CK10,N2,0.7756,0.9881,0.94
N-acetyl-3-methylhistidine*,CK10,N2,0.4604,0.9340,0.69
N-acetyl-1-methylhistidine*,CK10,N2,0.6399,0.9624,0.83
trans-urocanate,CK10,N2,0.9865,1.0000,0.87
cis-urocanate,CK10,N2,0.7440,0.9855,0.74
imidazole propionate,CK10,N2,0.8580,0.9927,1.06
formiminoglutamate,CK10,N2,0.4935,0.9340,0.66
imidazole lactate,CK10,N2,0.0241,0.4690,0.43
1-methyl-5-imidazoleacetate,CK10,N2,0.1136,0.7521,0.40
1-ribosyl-imidazoleacetate*,CK10,N2,0.9943,1.0000,1.00
4-imidazoleacetate,CK10,N2,0.0362,0.5902,0.51
N-acetylhistamine,CK10,N2,0.7362,0.9803,0.84
histidine methyl ester,CK10,N2,0.1434,0.8335,0.49
lysine,CK10,N2,0.5980,0.9569,0.71
N2-acetyllysine,CK10,N2,0.4572,0.9340,1.44
N6-acetyllysine,CK10,N2,0.6850,0.9697,0.76
"N2,N6-diacetyllysine",CK10,N2,0.4356,0.9340,0.49
N6-methyllysine,CK10,N2,0.3771,0.9340,0.36
"N6,N6,N6-trimethyllysine",CK10,N2,0.1848,0.8598,0.61
"hydroxy-N6,N6,N6-trimethyllysine*",CK10,N2,0.4537,0.9340,0.80
5-hydroxylysine,CK10,N2,0.1752,0.8598,0.29
fructosyllysine,CK10,N2,0.3295,0.9155,0.67
saccharopine,CK10,N2,0.6892,0.9697,1.02
2-aminoadipate,CK10,N2,0.9408,0.9936,1.24
2-oxoadipate,CK10,N2,0.8612,0.9927,0.18
pipecolate,CK10,N2,0.6282,0.9576,0.65
6-oxopiperidine-2-carboxylate,CK10,N2,0.6737,0.9697,0.86
cadaverine,CK10,N2,0.9475,0.9936,1.07
N-acetyl-cadaverine,CK10,N2,0.4847,0.9340,0.55
5-aminovalerate,CK10,N2,0.7020,0.9697,0.56
"N,N,N-trimethyl-5-aminovalerate",CK10,N2,0.7588,0.9872,0.67
phenylalanine,CK10,N2,0.6512,0.9697,0.90
N-acetylphenylalanine,CK10,N2,0.3917,0.9340,0.36
phenylpyruvate,CK10,N2,0.7967,0.9881,0.84
phenyllactate (PLA),CK10,N2,0.7311,0.9803,0.75
phenethylamine,CK10,N2,0.4497,0.9340,0.77
phenylacetate,CK10,N2,0.0150,0.4394,0.14
2-hydroxyphenylacetate,CK10,N2,0.5020,0.9340,0.56
4-hydroxyphenylacetate,CK10,N2,0.0445,0.6439,0.17
tyrosine,CK10,N2,0.6935,0.9697,0.97
N-acetyltyrosine,CK10,N2,0.4215,0.9340,0.50
tyramine,CK10,N2,0.8649,0.9927,0.88
4-hydroxyphenylpyruvate,CK10,N2,0.9124,0.9927,0.94
homogentisate,CK10,N2,0.8016,0.9881,0.38
3-(4-hydroxyphenyl)lactate,CK10,N2,0.8798,0.9927,0.91
dopamine,CK10,N2,0.7284,0.9803,0.75
o-tyrosine,CK10,N2,0.9204,0.9927,1.07
O-methyltyrosine,CK10,N2,0.5699,0.9540,0.80
gentisate,CK10,N2,0.4328,0.9340,0.51
N-formylphenylalanine,CK10,N2,0.2293,0.8598,0.41
tryptophan,CK10,N2,0.5382,0.9386,0.89
N-acetyltryptophan,CK10,N2,0.4964,0.9340,0.50
C-glycosyltryptophan,CK10,N2,0.0942,0.7508,0.70
oxindolylalanine,CK10,N2,0.9800,1.0000,1.04
N-formylkynurenine,CK10,N2,0.4567,0.9340,0.71
kynurenine,CK10,N2,0.9286,0.9927,1.20
kynurenate,CK10,N2,0.3006,0.8938,0.26
N-formylanthranilic acid,CK10,N2,0.3387,0.9211,0.63
anthranilate,CK10,N2,0.8589,0.9927,1.17
picolinate,CK10,N2,0.4538,0.9340,0.82
N-acetylserotonin,CK10,N2,0.5608,0.9540,0.50
indolelactate,CK10,N2,0.6388,0.9624,0.79
indoleacetate,CK10,N2,0.1071,0.7521,0.14
tryptophol,CK10,N2,0.0317,0.5524,0.13
indole-3-carboxylate,CK10,N2,0.4761,0.9340,0.62
leucine,CK10,N2,0.5797,0.9540,0.96
N-acetylleucine,CK10,N2,0.1091,0.7521,0.41
4-methyl-2-oxopentanoate,CK10,N2,0.6311,0.9576,1.39
alpha-hydroxyisocaproate,CK10,N2,0.9509,0.9936,1.37
isovaleryl/2-methylbutyryl CoA,CK10,N2,0.4952,0.9340,0.30
isovalerate (i5:0),CK10,N2,0.8335,0.9927,0.93
isovalerylglycine,CK10,N2,0.4306,0.9340,0.71
isovalerylcarnitine (C5),CK10,N2,0.6094,0.9569,0.84
beta-hydroxyisovalerate,CK10,N2,0.4824,0.9340,0.69
beta-hydroxyisovaleroylcarnitine,CK10,N2,0.4781,0.9340,0.82
beta-hydroxyisovalerylglycine,CK10,N2,0.2755,0.8812,0.53
3-methylglutaconate,CK10,N2,0.0543,0.6807,0.43
isoleucine,CK10,N2,0.6100,0.9569,0.95
N-acetylisoleucine,CK10,N2,0.0909,0.7472,0.45
3-methyl-2-oxovalerate,CK10,N2,0.6962,0.9697,1.30
2-hydroxy-3-methylvalerate,CK10,N2,0.9454,0.9936,0.95
2-methylbutyrylcarnitine (C5),CK10,N2,0.7327,0.9803,0.90
tiglylcarnitine (C5:1-DC),CK10,N2,0.8136,0.9881,0.95
ethylmalonate,CK10,N2,0.0686,0.6868,0.42
