metabolites,numerator,denominator,p-value,q-value,FC
glycine,CK10,N2,0.5920,1.0000,0.92
N-acetylglycine,CK10,N2,0.3442,1.0000,0.68
sarcosine,CK10,N2,0.4480,1.0000,0.56
dimethylglycine,CK10,N2,0.6570,1.0000,0.59
betaine,CK10,N2,0.8310,1.0000,1.39
betaine aldehyde,CK10,N2,0.5137,1.0000,0.69
serine,CK10,N2,0.4753,1.0000,1.60
N-acetylserine,CK10,N2,0.8289,1.0000,1.14
3-phosphoserine,CK10,N2,0.6703,1.0000,0.57
threonine,CK10,N2,0.7741,1.0000,0.98
N-acetylthreonine,CK10,N2,0.6174,1.0000,0.85
O-acetylhomoserine,CK10,N2,0.2718,1.0000,0.61
homoserine lactone,CK10,N2,0.2611,1.0000,0.52
alanine,CK10,N2,0.7772,1.0000,0.96
N-acetylalanine,CK10,N2,0.7155,1.0000,1.53
aspartate,CK10,N2,0.8637,1.0000,1.13
N-acetylaspartate (NAA),CK10,N2,0.2933,1.0000,0.62
asparagine,CK10,N2,0.7290,1.0000,3.24
N-acetylasparagine,CK10,N2,0.6453,1.0000,0.82
glutamate,CK10,N2,0.7158,1.0000,1.19
glutamine,CK10,N2,0.9098,1.0000,1.13
alpha-ketoglutaramate*,CK10,N2,0.5627,1.0000,0.68
N-acetylglutamate,CK10,N2,0.3637,1.0000,0.58
N-acetylglutamine,CK10,N2,0.6928,1.0000,0.74
4-hydroxyglutamate,CK10,N2,0.5197,1.0000,4.04
"glutamate, gamma-methyl ester",CK10,N2,0.6456,1.0000,0.99
S-1-pyrroline-5-carboxylate,CK10,N2,0.4599,1.0000,0.62
propionylglutamine,CK10,N2,0.2282,1.0000,0.58
histidine,CK10,N2,0.9347,1.0000,1.03
1-methylhistidine,CK10,N2,0.4979,1.0000,0.76
3-methylhistidine,CK10,N2,0.6519,1.0000,1.03
N-acetylhistidine,CK10,N2,0.8869,1.0000,1.17
N-acetyl-3-methylhistidine*,CK10,N2,0.2267,1.0000,0.54
N-acetyl-1-methylhistidine*,CK10,N2,0.9386,1.0000,0.91
trans-urocanate,CK10,N2,0.6833,1.0000,0.71
cis-urocanate,CK10,N2,0.6704,1.0000,0.72
imidazole propionate,CK10,N2,0.1814,1.0000,0.56
formiminoglutamate,CK10,N2,0.3664,1.0000,0.59
imidazole lactate,CK10,N2,0.0253,1.0000,0.49
1-methyl-5-imidazoleacetate,CK10,N2,0.1401,1.0000,0.47
1-ribosyl-imidazoleacetate*,CK10,N2,0.6472,1.0000,1.22
4-imidazoleacetate,CK10,N2,0.3273,1.0000,0.74
N-acetylhistamine,CK10,N2,0.5317,1.0000,1.44
histidine methyl ester,CK10,N2,0.9535,1.0000,1.00
lysine,CK10,N2,0.8033,1.0000,1.57
N2-acetyllysine,CK10,N2,0.0974,1.0000,2.05
N6-acetyllysine,CK10,N2,0.9050,1.0000,1.81
"N2,N6-diacetyllysine",CK10,N2,0.8689,1.0000,0.94
N6-methyllysine,CK10,N2,0.9063,1.0000,1.19
"N6,N6,N6-trimethyllysine",CK10,N2,0.9894,1.0000,0.97
"hydroxy-N6,N6,N6-trimethyllysine*",CK10,N2,0.7964,1.0000,1.01
5-hydroxylysine,CK10,N2,0.9391,1.0000,1.41
fructosyllysine,CK10,N2,0.4666,1.0000,0.67
saccharopine,CK10,N2,0.3082,1.0000,0.70
2-aminoadipate,CK10,N2,0.6737,1.0000,0.59
2-oxoadipate,CK10,N2,0.6314,1.0000,0.55
pipecolate,CK10,N2,0.5489,1.0000,0.57
6-oxopiperidine-2-carboxylate,CK10,N2,0.9750,1.0000,1.14
cadaverine,CK10,N2,0.6887,1.0000,0.87
N-acetyl-cadaverine,CK10,N2,0.7684,1.0000,1.93
5-aminovalerate,CK10,N2,0.7433,1.0000,1.62
"N,N,N-trimethyl-5-aminovalerate",CK10,N2,0.4429,1.0000,0.47
phenylalanine,CK10,N2,0.9553,1.0000,1.08
N-acetylphenylalanine,CK10,N2,0.7182,1.0000,1.68
phenylpyruvate,CK10,N2,0.8408,1.0000,1.34
phenyllactate (PLA),CK10,N2,0.6069,1.0000,0.71
phenethylamine,CK10,N2,0.8688,1.0000,0.89
phenylacetate,CK10,N2,0.6853,1.0000,0.77
2-hydroxyphenylacetate,CK10,N2,0.5154,1.0000,0.66
4-hydroxyphenylacetate,CK10,N2,0.9547,1.0000,0.94
tyrosine,CK10,N2,0.7447,1.0000,1.19
N-acetyltyrosine,CK10,N2,0.4762,1.0000,1.80
tyramine,CK10,N2,0.8744,1.0000,0.87
4-hydroxyphenylpyruvate,CK10,N2,0.6930,1.0000,0.90
homogentisate,CK10,N2,0.8095,1.0000,2.97
3-(4-hydroxyphenyl)lactate,CK10,N2,0.5929,1.0000,0.83
dopamine,CK10,N2,0.3516,1.0000,0.64
o-tyrosine,CK10,N2,0.8841,1.0000,1.20
O-methyltyrosine,CK10,N2,0.8048,1.0000,1.01
gentisate,CK10,N2,0.8917,1.0000,1.04
N-formylphenylalanine,CK10,N2,0.5741,1.0000,1.82
tryptophan,CK10,N2,0.7093,1.0000,0.92
N-acetyltryptophan,CK10,N2,0.5403,1.0000,1.78
C-glycosyltryptophan,CK10,N2,0.2664,1.0000,0.80
oxindolylalanine,CK10,N2,0.2400,1.0000,0.67
N-formylkynurenine,CK10,N2,0.4128,1.0000,0.67
kynurenine,CK10,N2,0.5138,1.0000,2.03
kynurenate,CK10,N2,0.5522,1.0000,1.72
N-formylanthranilic acid,CK10,N2,0.4016,1.0000,1.61
anthranilate,CK10,N2,0.5621,1.0000,1.40
picolinate,CK10,N2,0.7907,1.0000,1.05
N-acetylserotonin,CK10,N2,0.8106,1.0000,1.12
indolelactate,CK10,N2,0.2514,1.0000,0.60
indoleacetate,CK10,N2,0.6828,1.0000,0.74
tryptophol,CK10,N2,0.7358,1.0000,0.64
indole-3-carboxylate,CK10,N2,0.7334,1.0000,0.99
leucine,CK10,N2,0.7336,1.0000,0.95
N-acetylleucine,CK10,N2,0.7297,1.0000,0.99
4-methyl-2-oxopentanoate,CK10,N2,0.7401,1.0000,1.57
alpha-hydroxyisocaproate,CK10,N2,0.6154,1.0000,0.74
isovaleryl/2-methylbutyryl CoA,CK10,N2,0.8411,1.0000,0.98
isovalerate (i5:0),CK10,N2,0.9993,1.0000,1.41
isovalerylglycine,CK10,N2,0.2528,1.0000,0.66
isovalerylcarnitine (C5),CK10,N2,0.3329,1.0000,1.40
beta-hydroxyisovalerate,CK10,N2,0.9623,1.0000,1.08
beta-hydroxyisovaleroylcarnitine,CK10,N2,0.3415,1.0000,0.72
beta-hydroxyisovalerylglycine,CK10,N2,0.4860,1.0000,0.70
3-methylglutaconate,CK10,N2,0.6309,1.0000,0.70
isoleucine,CK10,N2,0.5222,1.0000,0.78
N-acetylisoleucine,CK10,N2,0.1706,1.0000,0.57
3-methyl-2-oxovalerate,CK10,N2,0.5123,1.0000,1.09
2-hydroxy-3-methylvalerate,CK10,N2,0.5505,1.0000,0.66
2-methylbutyrylcarnitine (C5),CK10,N2,0.4824,1.0000,0.74
tiglylcarnitine (C5:1-DC),CK10,N2,0.2518,1.0000,0.57
ethylmalonate,CK10,N2,0.2163,1.0000,0.60
methylsuccinate,CK10,N2,0.6328,1.0000,0.99
valine,CK10,N2,0.6202,1.0000,0.89
N-acetylvaline,CK10,N2,0.7869,1.0000,0.91
3-methyl-2-oxobutyrate,CK10,N2,0.5125,1.0000,1.03
alpha-hydroxyisovalerate,CK10,N2,0.6173,1.0000,0.81
isobutyrylcarnitine (C4),CK10,N2,0.6438,1.0000,0.83
3-hydroxyisobutyrate,CK10,N2,0.4854,1.0000,0.79
methionine,CK10,N2,0.9007,1.0000,1.19
N-acetylmethionine,CK10,N2,0.9974,1.0000,1.25
N-formylmethionine,CK10,N2,0.8672,1.0000,1.40
methionine sulfone,CK10,N2,0.6265,1.0000,1.63
methionine sulfoxide,CK10,N2,0.5600,1.0000,1.30
N-acetylmethionine sulfoxide,CK10,N2,0.7175,1.0000,1.11
S-adenosylmethionine (SAM),CK10,N2,0.9221,1.0000,2.29
S-adenosylhomocysteine (SAH),CK10,N2,0.9636,1.0000,0.96
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",CK10,N2,0.1486,1.0000,0.62
2-hydroxy-4-(methylthio)butanoic acid,CK10,N2,0.6751,1.0000,0.75
cystathionine,CK10,N2,0.4138,1.0000,0.57
cysteine,CK10,N2,0.7382,1.0000,1.21
N-acetylcysteine,CK10,N2,0.8405,1.0000,1.33
S-methylcysteine,CK10,N2,0.6857,1.0000,1.61
S-methylcysteine sulfoxide,CK10,N2,0.6267,1.0000,2.78
cysteine s-sulfate,CK10,N2,0.7347,1.0000,0.65
cystine,CK10,N2,0.9327,1.0000,0.99
lanthionine,CK10,N2,0.3004,1.0000,0.70
hypotaurine,CK10,N2,0.9559,1.0000,1.26
taurine,CK10,N2,0.5415,1.0000,0.68
N-acetyltaurine,CK10,N2,0.7860,1.0000,0.79
3-sulfo-alanine,CK10,N2,0.8520,1.0000,6.86
cyano-alanine,CK10,N2,0.7239,1.0000,0.62
arginine,CK10,N2,0.7188,1.0000,0.90
argininosuccinate,CK10,N2,0.7972,1.0000,1.18
urea,CK10,N2,0.1947,1.0000,0.61
ornithine,CK10,N2,0.5910,1.0000,0.73
3-amino-2-piperidone,CK10,N2,0.4221,1.0000,0.63
2-oxoarginine*,CK10,N2,0.7765,1.0000,1.51
citrulline,CK10,N2,0.9150,1.0000,1.22
homoarginine,CK10,N2,0.7562,1.0000,1.22
homocitrulline,CK10,N2,0.8681,1.0000,0.86
proline,CK10,N2,0.8678,1.0000,1.01
dimethylarginine (SDMA + ADMA),CK10,N2,0.8232,1.0000,1.00
N-acetylarginine,CK10,N2,0.7150,1.0000,0.89
N-delta-acetylornithine,CK10,N2,0.3527,1.0000,0.62
trans-4-hydroxyproline,CK10,N2,0.8966,1.0000,0.76
pro-hydroxy-pro,CK10,N2,0.4467,1.0000,3.05
N-methylproline,CK10,N2,0.8412,1.0000,0.91
N-monomethylarginine,CK10,N2,0.4245,1.0000,1.31
argininate*,CK10,N2,0.8456,1.0000,0.91
creatine,CK10,N2,0.5179,1.0000,0.53
agmatine,CK10,N2,0.5381,1.0000,0.51
acetylagmatine,CK10,N2,0.6003,1.0000,0.49
putrescine,CK10,N2,0.5738,1.0000,0.72
N-acetylputrescine,CK10,N2,0.9349,1.0000,1.02
N-carbamoylputrescine,CK10,N2,0.8543,1.0000,1.85
isoputreanine,CK10,N2,0.6297,1.0000,9.33
N-acetyl-isoputreanine,CK10,N2,0.5181,1.0000,9.90
spermidine,CK10,N2,0.5540,1.0000,0.66
N('1)-acetylspermidine,CK10,N2,0.8330,1.0000,0.96
diacetylspermidine*,CK10,N2,0.9428,1.0000,1.21
spermine,CK10,N2,0.9445,1.0000,0.65
N(1)-acetylspermine,CK10,N2,0.4297,1.0000,1.64
"N1,N12-diacetylspermine",CK10,N2,0.2667,1.0000,11.21
S-adenosylmethioninamine,CK10,N2,0.6806,1.0000,0.88
5-methylthioadenosine (MTA),CK10,N2,0.1739,1.0000,0.42
4-acetamidobutanoate,CK10,N2,0.6453,1.0000,0.82
4-guanidinobutanoate,CK10,N2,0.3576,1.0000,13.74
"glutathione, reduced (GSH)",CK10,N2,0.6301,1.0000,3.25
"glutathione, oxidized (GSSG)",CK10,N2,0.6194,1.0000,2.80
cysteine-glutathione disulfide,CK10,N2,0.8745,1.0000,1.15
cysteinylglycine,CK10,N2,0.4153,1.0000,0.63
cysteinylglycine disulfide*,CK10,N2,0.5296,1.0000,0.94
5-oxoproline,CK10,N2,0.0459,1.0000,6.67
2-hydroxybutyrate/2-hydroxyisobutyrate,CK10,N2,0.9450,1.0000,0.99
ophthalmate,CK10,N2,0.9890,1.0000,0.99
"S-(1,2-dicarboxyethyl)glutathione",CK10,N2,0.6254,1.0000,0.61
CoA-glutathione*,CK10,N2,0.8117,1.0000,1.36
gamma-glutamylalanine,CK10,N2,0.9023,1.0000,0.44
gamma-glutamylcysteine,CK10,N2,0.6008,1.0000,5.99
gamma-glutamylglutamate,CK10,N2,0.9318,1.0000,0.94
gamma-glutamylglutamine,CK10,N2,0.9877,1.0000,1.58
gamma-glutamylglycine,CK10,N2,0.8554,1.0000,0.84
gamma-glutamylhistidine,CK10,N2,0.5768,1.0000,1.09
gamma-glutamylisoleucine*,CK10,N2,0.8081,1.0000,0.97
gamma-glutamylleucine,CK10,N2,0.6576,1.0000,0.86
gamma-glutamyl-alpha-lysine,CK10,N2,0.8434,1.0000,0.80
gamma-glutamylmethionine,CK10,N2,0.9029,1.0000,3.37
gamma-glutamylphenylalanine,CK10,N2,0.6647,1.0000,4.51
gamma-glutamylthreonine,CK10,N2,0.9985,1.0000,0.79
gamma-glutamyltyrosine,CK10,N2,0.7844,1.0000,1.59
gamma-glutamylvaline,CK10,N2,0.7416,1.0000,1.48
gamma-glutamylserine,CK10,N2,0.7796,1.0000,0.81
gamma-glutamylcitrulline*,CK10,N2,0.3178,1.0000,0.06
leucylhydroxyproline*,CK10,N2,0.3589,1.0000,0.28
alanylleucine,CK10,N2,0.5272,1.0000,5.31
cyclo(gly-pro),CK10,N2,0.9956,1.0000,0.96
glycylisoleucine,CK10,N2,0.5851,1.0000,2.83
glycylleucine,CK10,N2,0.4804,1.0000,3.52
glycylvaline,CK10,N2,0.5778,1.0000,2.84
histidylalanine,CK10,N2,0.4712,1.0000,5.19
isoleucylglycine,CK10,N2,0.8162,1.0000,1.49
leucylalanine,CK10,N2,0.4855,1.0000,2.53
leucylglycine,CK10,N2,0.6112,1.0000,2.30
lysylleucine,CK10,N2,0.5515,1.0000,14.47
phenylalanylalanine,CK10,N2,0.4464,1.0000,3.93
phenylalanylglycine,CK10,N2,0.5700,1.0000,1.95
phenylalanylhydroxyproline*,CK10,N2,0.3065,1.0000,0.47
prolylglycine,CK10,N2,0.8180,1.0000,1.73
threonylphenylalanine,CK10,N2,0.6524,1.0000,3.94
tyrosylglycine,CK10,N2,0.7677,1.0000,1.74
valylglutamine,CK10,N2,0.7049,1.0000,2.37
valylglycine,CK10,N2,0.7359,1.0000,1.21
valylleucine,CK10,N2,0.7010,1.0000,5.76
leucylglutamine*,CK10,N2,0.9202,1.0000,2.86
alanyl-glutamyl-meso-diaminopimelate,CK10,N2,0.9674,1.0000,2.26
phenylacetylcarnitine,CK10,N2,0.8538,1.0000,1.18
phenylacetylglutamine,CK10,N2,0.7788,1.0000,0.78
"N,N-dimethyl-pro-pro",CK10,N2,0.0521,1.0000,0.73
"1,5-anhydroglucitol (1,5-AG)",CK10,N2,0.7468,1.0000,1.09
glucose,CK10,N2,0.4363,1.0000,1.28
glucose 6-phosphate,CK10,N2,0.4533,1.0000,1.49
"fructose 1,6-diphosphate/glucose 1,6-diphosphate/myo-inositol diphosphates",CK10,N2,0.9785,1.0000,1.41
dihydroxyacetone phosphate (DHAP),CK10,N2,0.6322,1.0000,0.86
2-phosphoglycerate,CK10,N2,0.9572,1.0000,1.27
3-phosphoglycerate,CK10,N2,0.8596,1.0000,1.49
phosphoenolpyruvate (PEP),CK10,N2,0.8796,1.0000,1.45
pyruvate,CK10,N2,0.8369,1.0000,0.76
lactate,CK10,N2,0.0982,1.0000,0.64
glycerate,CK10,N2,0.6908,1.0000,0.78
6-phosphogluconate,CK10,N2,0.8222,1.0000,1.22
ribose 1-phosphate,CK10,N2,0.8665,1.0000,0.99
sedoheptulose-7-phosphate,CK10,N2,0.8284,1.0000,1.13
ribose,CK10,N2,0.9627,1.0000,1.16
ribitol,CK10,N2,0.6902,1.0000,0.80
ribonate,CK10,N2,0.1404,1.0000,0.50
arabitol/xylitol,CK10,N2,0.8898,1.0000,0.94
