,WT,Tau,Abeta,Tau;Abeta
perm-4,1,1,1,1
CELE_Y62H9A.6,1,1,1,1
CELE_ZC373.2,1,1,1,1
CELE_D1054.10,1,1,1,1
skpo-1,1,1,1,1
pqn-52,1,1,1,1
emb-9,1,1,1,1
let-2,1,1,1,1
ifb-2,0,0,1,1
ifc-2,0,0,1,1
ifp-1,0,0,1,1
CELE_Y37E3.8,0,1,0,1
hrpf-1,0,0,0,1
unc-52,0,0,0,1
lys-1,0,0,0,1
act-5;Cre-act-5;Cbn-act-5;act-5,0,0,0,1
ifc-1,0,0,1,0
tag-18,0,0,1,0
CBG23090;CRE_00778;CRE_18060;CAEBREN_32824;;act-1;act-3;act-4;CRE_18005;act-4,0,0,1,0
Cre-mex-3;CAEBREN_24563;Cbn-mex-3;mex-3;;mex-3,1,0,0,0
grd-6,1,0,0,0
rpl-17;Cre-rpl-17;CAEBREN_14338;rpl-17,1,0,0,0
CAEBREN_23569;;mmcm-1,1,0,0,0
CELE_F53F1.2,1,0,0,0
rsp-3,1,0,0,0
lec-8,1,0,0,0
rack-1,1,0,0,0
perm-2,1,0,0,0
rsp-8,1,0,0,0
CELE_F10D11.6,1,0,0,0
CELE_R09B3.3,1,0,0,0
fars-3;Cre-fars-3;CAEBREN_24660;CAEBREN_17714;;frs-2,1,0,0,0
pck-1,1,0,0,0
rps-19;Cre-rps-19;CAEBREN_04741;rps-19,1,0,0,0
CAEBREN_11295;vha-5,1,0,0,0
Cre-rps-13;CAEBREN_07460;rps-13,1,0,0,0
CAEBREN_15205;CAEBREN_11988;mlc-1;mlc-2,1,0,0,0
cec-5,1,0,0,0
CELE_ZK84.1,1,0,0,0
CELE_K08E3.5,1,0,0,0
tufm-1;,1,0,0,0
CAEBREN_05980;rps-5,1,0,0,0
CELE_W07E11.1,1,0,0,0
rme-2;;lr;;rme-2,1,0,0,0
krs-1;kars-1;kars-1,1,0,0,0
pyk-1,1,0,0,0
C28H8.3,1,0,0,0
4D656,1,0,0,0
T05H10.6;pdha-1,1,0,0,0
CELE_W04B5.3,1,0,0,0
uaf-2;Cre-uaf-2;Cbn-uaf-2;;uaf-2,1,0,0,0
prp-8;Cre-prp-8;CAEBREN_31265;;;prp-8,1,0,0,0
acer-1;CAEBREN_03407;acer-1,1,0,0,0
rpt-5;Cre-rpt-5;Cbn-rpt-5;;rpt-5,1,0,0,0
ran-1;Cre-ran-1;Cbn-ran-1;;;ran-1,1,0,0,0
CELE_W09G12.7,1,0,0,0
rpl-26,1,0,0,0
swsn-1;Cre-psa-1;swsn-1;;swsn-1;swsn-1,1,0,0,0
edc-3,1,0,0,0
ragc-1;CRE_12621;CAEBREN_31502;ragc-1,1,0,0,0
far-6,1,0,0,0
gls-1,1,0,0,0
K12H4.4,1,0,0,0
C14C10.5,1,0,0,0
rpl-24.1,1,0,0,0
CELE_R07H5.8,1,0,0,0
sucl-2;CRE_03008;CAEBREN_09545;sucl-2,1,0,0,0
cct-6,1,0,0,0
Cre-rpl-1;CRE_01247;;rpl-10a,1,0,0,0
cpt-2,1,0,0,0
cyn-3,1,0,0,0
K02F3.2,1,0,0,0
C16A3.10,1,0,0,0
dbt-1,1,0,0,0
CBG04280;CRE_28910;CAEBREN_02516;;F41C3.5,1,0,0,0
cey-3,1,0,0,0
vit-3,1,0,0,0
rpl-9;Cre-rpl-9;;rpl-9,1,0,0,0
